locationData
Identifier,NG Tube (Y/N),X Coordinate,Y Coordinate,xCoord,yCoord,xCoord Ratio,yCoord Ratio,Avg xCoord Ratio,Avg yCoord Ratio,xRatio from xAvg,yRatio from yAvg,,,
5,Y,1079.171,965.083,3159,2800,0.341617917062362,0.3446725,0.527999418040328,0.836659435958199,-0.186381500977966,-0.491986935958199,-0.2,-0.5,
6,Y,1382.829,2002.113,3408,2800,0.405759683098592,0.715040357142857,,,-0.122239734941736,-0.121619078815342,-0.2,-0.2,
7,Y,1460.016,108.232,2846,2330,0.513006324666198,0.0464515021459227,,,-0.01499309337413,-0.790207933812276,-0.1,-0.8,
10,Y,974.723,730.353,2330,2846,0.418336051502146,0.256624385101897,,,-0.109663366538182,-0.580035050856302,-0.2,-0.6,
11,Y,2077.02,1030.079,2330,2846,0.891424892703863,0.361939212930429,,,0.363425474663535,-0.47472022302777,0.4,-0.5,
12,Y,467.27,1608.134,2846,2330,0.164184820801124,0.690186266094421,,,-0.363814597239204,-0.146473169863778,-0.4,-0.2,
13,Y,1047.282,1985.067,2257,2588,0.464015064244572,0.76702743431221,,,-0.063984353795756,-0.069632001645989,-0.1,-0.1,
19,Y,1449.765,1293.646,2846,2330,0.509404427266339,0.555212875536481,,,-0.018594990773989,-0.281446560421718,-0.1,-0.3,
22,Y,1923.579,1198.886,2800,3408,0.6869925,0.351785798122066,,,0.158993081959672,-0.484873637836133,0.2,-0.5,
23,Y,1231.77,2162.099,2846,2330,0.4328074490513,0.927939484978541,,,-0.095191968989028,0.091280049020342,-0.1,0.1,
24,Y,972.263,894.343,2846,2330,0.341624385101897,0.383838197424893,,,-0.186375032938431,-0.452821238533306,-0.2,-0.5,
25,Y,528.595,1614.136,2737,2157,0.193129338691999,0.748324524802967,,,-0.334870079348329,-0.088334911155232,-0.4,-0.1,
30,Y,1507.048,443.924,2330,2846,0.646801716738197,0.155981728742094,,,0.118802298697869,-0.680677707216105,0.2,-0.7,
31,Y,1822.994,1543.467,2846,2330,0.640546029515109,0.662432188841202,,,0.112546611474781,-0.174227247116997,0.2,-0.2,
32,Y,1403.111,1792.185,2846,2330,0.493011595221363,0.769178111587983,,,-0.034987822818965,-0.067481324370216,-0.1,-0.1,
37,Y,816.256,1172.715,2330,2442,0.350324463519313,0.480227272727273,,,-0.177674954521015,-0.356432163230926,-0.2,-0.4,
38,Y,2663.679,1116.537,2800,3384,0.951313928571429,0.329945921985816,,,0.423314510531101,-0.506713513972383,0.5,-0.6,
39,Y,1317.355,774.066,2330,2846,0.565388412017167,0.27198383696416,,,0.037388993976839,-0.564675598994039,0.1,-0.6,
46,Y,560.286,2100.192,2846,2330,0.196867884750527,0.901369957081545,,,-0.331131533289801,0.064710521123346,-0.4,0.1,
50,Y,1494.436,384.434,2846,2330,0.525100491918482,0.16499313304721,,,-0.002898926121846,-0.671666302910989,-0.1,-0.7,
51,Y,1578.79,192.525,2846,2297,0.554739985945186,0.0838158467566391,,,0.026740567904858,-0.75284358920156,0.1,-0.8,
52,Y,1714.59,634.352,2846,2079,0.602456078706957,0.305123617123617,,,0.074456660666629,-0.531535818834582,0.1,-0.6,
53,Y,1370.547,834.576,2846,2330,0.48156957132818,0.358187124463519,,,-0.046429846712148,-0.47847231149468,-0.1,-0.5,
